variant,keypair,sign,verify,algorithm,level
SPHINCS+-SHA2-128s-simple,1063.7590885162354,8088.314056396484,7.93766975402832,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.3776187896729,8089.236497879028,8.00180435180664,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.0074272155762,8089.520215988159,8.112907409667969,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.7382526397705,8092.0257568359375,8.104562759399414,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.03071975708,8089.383602142334,7.951498031616211,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.5724067687988,8088.163137435913,8.153200149536133,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4984970092773,8089.426279067993,7.613182067871094,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.3983612060547,8089.473724365234,7.778167724609375,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.2846355438232,8088.125944137573,8.056402206420898,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.6074542999268,8088.716506958008,7.709741592407227,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4827613830566,8088.918685913086,7.486104965209961,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.8293285369873,8090.318918228149,7.812976837158203,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.0274543762207,8090.950727462769,8.11624526977539,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.0973110198975,8088.657379150391,8.089303970336914,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4057521820068,8088.614225387573,7.394313812255859,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.7414455413818,8089.859247207642,7.790565490722656,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.3561611175537,8090.7697677612305,8.315086364746094,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.2877349853516,8088.37890625,7.775306701660156,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.201665878296,8089.921236038208,8.100271224975586,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1062.7377033233643,8089.611530303955,7.991552352905273,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.7358684539795,8090.312957763672,7.878303527832031,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1061.6669654846191,8089.867115020752,7.946968078613281,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.0395412445068,8088.991403579712,8.265495300292969,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4584426879883,8089.584827423096,7.363557815551758,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.5278224945068,8088.029861450195,7.709503173828125,sphincs-sha-s,1
SPHINCS+-SHA2-128s-simple,1063.4000301361084,8089.7064208984375,8.318185806274414,sphincs-sha-s,1
